School_ID;Student_ID;Attendance;Tutoring_Sessions;Teacher_Quality;School_Type;Distance_from_Home;Previous_Scores;Exam_Score
1829;1829;82;1;High;Public;Moderate;74;64
1830;1830;64;1;Medium;Public;Near;53;61
1831;1831;87;0;Low;Public;Near;78;67
1832;1832;89;0;Low;Public;Moderate;80;68
1833;1833;99;2;Medium;Public;Near;94;74
1834;1834;70;3;High;Public;Near;53;67
1835;1835;61;2;Medium;Private;Near;85;64
1836;1836;82;3;High;Public;Moderate;78;69
1837;1837;88;0;Medium;Private;Far;59;63
1838;1838;92;0;Medium;Private;Moderate;56;67
1839;1839;68;1;Medium;Public;Far;85;65
1840;1840;70;5;Low;Public;Moderate;67;67
1841;1841;81;1;Medium;Private;Moderate;100;68
1842;1842;73;3;Medium;Private;Near;95;62
1843;1843;94;1;High;Public;Near;78;70
1844;1844;79;1;Medium;Public;Near;82;67
1845;1845;92;2;Medium;Public;Moderate;58;89
1846;1846;83;1;Medium;Private;Near;95;65
1847;1847;91;2;Medium;Public;Near;73;69
1848;1848;73;2;Medium;Public;Far;76;64
1849;1849;93;6;Medium;Private;Near;94;74
1850;1850;71;0;Medium;Public;Far;50;64
1851;1851;82;0;Medium;Public;Moderate;75;64
1852;1852;69;2;Medium;Private;Near;81;67
1853;1853;79;2;Medium;Public;Moderate;58;63
1854;1854;73;3;High;Private;Moderate;53;68
1855;1855;71;0;Medium;Public;Near;77;66
1856;1856;99;0;Medium;Public;Moderate;77;68
1857;1857;66;1;Medium;Private;Moderate;67;68
1858;1858;91;3;Medium;Private;Near;94;69
1859;1859;99;3;Low;Public;Near;65;71
1860;1860;61;1;Medium;Public;Near;76;65
1861;1861;88;2;Medium;Private;Near;59;67
1862;1862;70;1;Medium;Public;Near;51;65
1863;1863;62;0;High;Private;Moderate;71;65
1864;1864;76;1;High;Public;Near;76;80
1865;1865;97;2;Medium;Public;Moderate;88;74
1866;1866;60;3;Low;Public;Near;72;59
1867;1867;84;2;High;Public;Near;64;69
1868;1868;80;0;Medium;Public;Moderate;80;66
1869;1869;95;1;Low;Public;Moderate;69;66
1870;1870;63;2;Medium;Public;Near;62;65
1871;1871;87;3;Low;Public;Near;96;67
1872;1872;87;3;Medium;Private;Moderate;77;69
1873;1873;87;2;Medium;Public;Near;60;68
1874;1874;98;1;High;Private;Near;84;73
1875;1875;93;1;Medium;Public;Near;90;71
1876;1876;62;0;High;Public;Moderate;88;67
1877;1877;79;1;High;Public;Near;80;67
1878;1878;76;0;High;Public;Near;76;66
1879;1879;72;3;Medium;Public;Near;89;63
1880;1880;78;1;Medium;Public;Far;85;65
1881;1881;75;2;Medium;Public;Near;79;67
1882;1882;77;1;Low;Public;Near;83;69
1883;1883;99;1;Medium;Public;Near;58;67
1884;1884;64;4;High;Public;Near;51;66
1885;1885;97;2;High;Private;Moderate;97;74
1886;1886;79;2;;Public;Moderate;97;69
1887;1887;85;0;Medium;Public;Moderate;89;66
1888;1888;93;0;Medium;Private;Moderate;69;69
1889;1889;74;1;Medium;Public;Far;58;63
1890;1890;77;0;High;Private;Near;68;65
1891;1891;76;1;Medium;Private;Far;86;64
1892;1892;75;0;Medium;Private;Near;67;64
1893;1893;97;2;Low;Public;Moderate;90;69
1894;1894;93;5;High;Public;Near;84;73
1895;1895;64;1;Medium;Public;Moderate;81;62
1896;1896;64;2;Low;Private;Near;97;62
1897;1897;77;0;High;Private;Moderate;95;68
1898;1898;64;1;Medium;Private;Far;86;66
1899;1899;85;2;Medium;Public;Moderate;60;68
1900;1900;66;4;Medium;Public;Moderate;97;66
1901;1901;81;3;Medium;Public;Near;61;69
1902;1902;60;0;Medium;Public;Near;69;62
1903;1903;73;2;Medium;Public;Far;91;68
1904;1904;87;2;High;Public;Moderate;60;67
1905;1905;79;1;Medium;Private;Near;82;65
1906;1906;99;0;Medium;Public;Near;73;69
1907;1907;95;2;Low;Public;Near;81;67
1908;1908;74;0;Medium;Public;Near;98;64
1909;1909;62;3;High;Private;Near;90;62
1910;1910;94;5;High;Private;Near;65;71
1911;1911;96;0;Medium;Private;Near;53;72
1912;1912;93;0;Medium;Public;Near;98;74
1913;1913;65;1;High;Public;Near;79;66
1914;1914;100;2;Medium;Public;Near;59;72
1915;1915;70;1;High;Private;Near;81;65
1916;1916;89;0;Medium;Public;Far;52;67
1917;1917;96;2;High;Private;Near;59;70
1918;1918;69;0;High;Public;Moderate;82;62
1919;1919;96;0;Medium;Public;Far;70;66
1920;1920;72;2;High;Public;Near;66;65
1921;1921;99;2;High;Public;Near;83;70
1922;1922;71;2;Medium;Private;Near;93;69
1923;1923;98;3;Medium;Public;Near;84;70
1924;1924;62;2;Medium;Private;Near;73;66
1925;1925;88;1;High;Private;Near;83;73
1926;1926;81;3;High;Public;Moderate;85;69
1927;1927;79;3;Medium;Private;Near;89;66
1928;1928;69;4;Medium;Public;Far;65;65
1929;1929;88;2;Medium;Public;Near;56;70
1930;1930;68;0;High;Private;Far;84;70
1931;1931;82;2;High;Public;Near;56;67
1932;1932;70;1;Medium;Private;Near;73;68
1933;1933;98;1;Medium;Private;Near;62;68
1934;1934;61;0;Medium;Public;Far;67;61
1935;1935;68;2;Medium;Public;Near;74;70
1936;1936;70;0;High;Public;Moderate;95;65
1937;1937;77;3;Medium;Public;Moderate;84;66
1938;1938;69;3;Medium;Public;Moderate;59;67
1939;1939;80;3;Medium;Public;Near;94;69
1940;1940;95;1;Medium;Public;Far;75;69
1941;1941;88;1;Medium;Public;Moderate;60;67
1942;1942;83;0;Low;Private;Near;76;66
1943;1943;64;1;High;Private;Near;60;63
1944;1944;88;0;High;Public;Far;68;67
1945;1945;67;0;Medium;Public;Far;90;64
1946;1946;91;2;Medium;Private;Near;83;68
1947;1947;70;2;High;Public;Moderate;74;65
1948;1948;77;2;Medium;Public;Near;61;65
1949;1949;74;1;Medium;Public;Near;64;65
1950;1950;94;0;Medium;Public;Near;99;70
1951;1951;65;1;Medium;Public;Near;67;62
1952;1952;83;0;Medium;Public;Moderate;81;68
1953;1953;66;0;High;Public;Near;75;62
1954;1954;88;0;Medium;Public;Near;51;68
1955;1955;96;0;High;Private;Near;97;72
1956;1956;77;1;Medium;Public;Near;54;70
1957;1957;80;3;Medium;Public;Far;83;62
1958;1958;97;2;Medium;Public;Moderate;91;79
1959;1959;81;2;High;Public;Near;87;73
1960;1960;80;1;Low;Public;Far;90;68
1961;1961;83;0;Medium;Public;Near;87;68
1962;1962;88;2;High;Public;Moderate;72;69
1963;1963;64;1;Medium;Public;Far;95;63
1964;1964;93;5;Medium;Public;Near;96;74
1965;1965;77;2;High;Public;Moderate;72;69
1966;1966;63;0;Medium;Public;Near;74;61
1967;1967;91;4;Medium;Public;Near;74;69
1968;1968;75;2;Medium;Public;Near;64;64
1969;1969;64;2;Medium;Public;Far;56;63
1970;1970;85;1;Medium;Public;Near;63;68
1971;1971;95;2;Medium;Public;Far;92;72
1972;1972;96;3;;Public;Far;77;65
1973;1973;98;2;Low;Public;Near;93;69
1974;1974;95;2;Medium;Private;Near;87;70
1975;1975;60;1;Medium;Public;Moderate;67;63
1976;1976;75;0;Medium;Public;Near;59;62
1977;1977;93;1;Medium;Public;Near;78;72
1978;1978;75;1;Medium;Public;Far;97;69
1979;1979;84;2;Medium;Public;Moderate;92;66
1980;1980;84;2;High;Private;Near;88;71
1981;1981;75;2;Medium;Private;Moderate;88;62
1982;1982;96;2;High;Public;Near;76;68
1983;1983;80;0;Medium;Public;Near;58;63
1984;1984;79;0;Medium;Public;Far;64;66
1985;1985;100;1;High;Public;Moderate;79;75
1986;1986;80;1;High;Private;Near;66;69
1987;1987;67;2;Low;Private;Near;89;68
1988;1988;81;5;Medium;Public;Moderate;69;69
1989;1989;93;2;Medium;Public;Near;56;67
1990;1990;91;3;Medium;Private;Near;89;73
1991;1991;92;1;Medium;Public;Near;85;71
1992;1992;88;2;Medium;Public;Moderate;63;71
1993;1993;70;2;Medium;Private;Near;99;68
1994;1994;94;1;Medium;Public;Near;70;70
1995;1995;96;1;High;Public;Near;84;71
1996;1996;68;1;High;Public;Near;96;69
1997;1997;65;3;Medium;Private;Near;58;63
1998;1998;99;2;Medium;Private;Near;94;71
1999;1999;95;2;Medium;Public;Near;85;69
2000;2000;96;2;Low;Public;Moderate;58;71
2001;2001;95;2;High;Private;Near;83;68
2002;2002;82;1;Medium;Public;Near;94;68
2003;2003;86;0;High;Public;Far;90;66
2004;2004;82;3;Medium;Public;Moderate;88;67
2005;2005;62;0;High;Private;Moderate;58;59
2006;2006;90;1;Medium;Public;Near;60;66
2007;2007;80;0;High;Private;Near;77;64
2008;2008;86;1;Medium;Public;Moderate;79;64
2009;2009;80;0;High;Private;Moderate;97;69
2010;2010;80;1;Medium;Public;Near;73;69
2011;2011;67;3;Medium;Public;Near;65;61
2012;2012;71;0;High;Private;Far;60;62
2013;2013;66;2;High;Public;Near;53;61
2014;2014;68;1;High;Private;Near;53;63
2015;2015;99;2;Medium;Public;Near;79;71
2016;2016;66;1;Low;Public;Moderate;59;65
2017;2017;71;1;High;Private;Moderate;93;68
2018;2018;84;1;High;Public;Moderate;80;67
2019;2019;84;2;Medium;Public;Near;93;70
2020;2020;66;3;Medium;Public;Near;71;64
2021;2021;92;0;Medium;Private;Near;80;71
2022;2022;91;2;Medium;Public;Moderate;76;71
2023;2023;69;0;Medium;Private;Moderate;99;67
2024;2024;72;0;Medium;Public;Far;90;63
2025;2025;98;2;High;Public;Near;80;66
2026;2026;93;3;Medium;Public;Moderate;80;70
2027;2027;88;2;Medium;Private;Near;62;70
2028;2028;63;3;High;Private;Near;87;67
2029;2029;77;3;High;Public;Near;99;69
2030;2030;82;3;Medium;Public;Near;56;66
2031;2031;67;1;Medium;Public;Far;82;67
2032;2032;78;0;Medium;Public;Near;76;65
2033;2033;84;1;Medium;Public;Far;93;72
2034;2034;73;1;Medium;Public;Near;50;68
2035;2035;91;3;Medium;Public;Near;57;72
2036;2036;94;1;Medium;Private;Near;52;76
2037;2037;73;4;Medium;Public;Near;58;65
2038;2038;94;1;Low;Public;Near;85;68
2039;2039;64;3;High;Public;Near;57;65
2040;2040;94;0;High;Public;Near;81;66
2041;2041;66;7;Medium;Public;Far;93;63
2042;2042;63;2;High;Public;Moderate;52;63
2043;2043;86;2;Medium;Private;Moderate;51;66
2044;2044;79;2;High;Public;Near;99;69
2045;2045;96;3;Low;Public;Near;84;72
2046;2046;75;3;Low;Public;Near;57;66
2047;2047;71;2;Medium;Public;Moderate;65;64
2048;2048;80;0;High;Private;;99;67
2049;2049;78;1;Medium;Private;Near;61;67
2050;2050;74;1;High;Public;Near;88;66
2051;2051;88;2;Medium;Public;Near;62;68
2052;2052;90;0;Medium;Private;Moderate;70;65
2053;2053;94;2;High;Private;Near;94;71
2054;2054;99;1;Low;Public;Near;51;71
2055;2055;71;1;High;Private;Moderate;65;62
2056;2056;89;2;High;Public;Near;74;69
2057;2057;76;4;Medium;Private;Near;81;65
2058;2058;87;3;Medium;Public;Near;51;70
2059;2059;79;2;;Private;Moderate;71;66
2060;2060;100;0;Medium;Public;Far;67;70
2061;2061;89;2;High;Private;Moderate;51;70
2062;2062;98;1;Medium;Private;Moderate;68;69
2063;2063;93;2;Medium;Public;Near;97;71
2064;2064;96;1;Medium;Public;Near;64;69
2065;2065;93;2;High;Public;Near;79;73
2066;2066;78;1;High;Public;Moderate;65;65
2067;2067;70;3;Medium;Public;Near;55;62
2068;2068;75;2;Low;Public;Moderate;64;67
2069;2069;61;1;Medium;Public;Moderate;74;65
2070;2070;81;1;Medium;Public;Far;65;65
2071;2071;80;0;Medium;Public;Near;81;70
2072;2072;81;1;Medium;Public;Near;97;70
2073;2073;99;0;Low;Public;Near;53;71
2074;2074;96;1;High;Public;Near;86;71
2075;2075;66;1;High;Public;Moderate;50;62
2076;2076;75;4;Medium;Public;Near;50;65
2077;2077;77;3;High;Public;Far;57;84
2078;2078;74;2;High;Public;Far;74;68
2079;2079;92;3;Medium;Public;Near;52;70
2080;2080;81;1;Medium;Private;Near;86;68
2081;2081;83;2;High;Public;Near;51;67
2082;2082;94;1;High;Public;Near;75;69
2083;2083;92;2;Low;Public;Near;84;68
2084;2084;65;3;Low;Public;Near;62;59
2085;2085;89;0;Medium;Public;Near;79;67
2086;2086;77;0;Low;Public;Moderate;63;63
2087;2087;72;1;Medium;Public;Near;61;65
2088;2088;62;1;Medium;Public;Near;91;63
2089;2089;79;1;Medium;Private;Near;67;64
2090;2090;74;3;High;Public;Far;91;72
2091;2091;70;1;Medium;Public;Moderate;61;63
2092;2092;88;2;Medium;Public;Near;68;66
2093;2093;91;0;Low;Private;Moderate;55;67
2094;2094;70;1;Medium;Public;Moderate;75;66
2095;2095;62;2;High;Public;Moderate;69;66
2096;2096;94;1;High;Private;Near;50;68
2097;2097;60;1;Medium;Private;Moderate;73;66
2098;2098;97;3;Medium;Public;Near;54;68
2099;2099;85;2;Medium;Public;Far;92;65
2100;2100;73;0;Medium;Private;Near;75;67
2101;2101;70;0;Medium;Private;Far;85;64
2102;2102;60;0;Medium;Private;Far;91;59
2103;2103;69;0;Medium;Private;Near;53;60
2104;2104;66;1;High;Public;Far;67;65
2105;2105;84;0;Medium;Public;Near;51;64
2106;2106;67;1;Medium;Public;Near;52;66
2107;2107;81;0;Medium;Public;Near;52;65
2108;2108;84;2;High;Public;Far;74;69
2109;2109;72;0;Medium;Private;Near;73;66
2110;2110;61;1;High;Private;;53;65
2111;2111;61;1;Medium;Public;Moderate;63;62
2112;2112;61;2;Medium;Public;Far;62;60
2113;2113;90;4;High;Public;Moderate;65;68
2114;2114;73;1;Medium;Public;Near;82;64
2115;2115;92;0;Medium;Public;Near;85;73
2116;2116;77;1;Medium;Public;Near;67;64
2117;2117;78;2;Medium;Public;Moderate;89;69
2118;2118;81;1;High;Public;Near;71;63
2119;2119;89;2;Medium;Public;Near;76;65
2120;2120;71;2;High;Public;Moderate;57;65
2121;2121;65;0;High;Public;Near;62;67
2122;2122;82;0;Low;Public;Near;86;67
2123;2123;73;1;Medium;Private;Near;99;66
2124;2124;78;1;High;Private;Near;85;68
2125;2125;86;1;High;Public;Near;53;65
2126;2126;80;1;Medium;Public;Near;57;66
2127;2127;85;2;Medium;Public;Moderate;72;66
2128;2128;82;2;High;Public;Near;87;69
2129;2129;90;2;Medium;Private;Near;58;70
2130;2130;88;2;High;Private;Moderate;88;71
2131;2131;81;4;Low;Public;Moderate;78;70
2132;2132;87;2;Medium;Public;Moderate;89;68
2133;2133;95;2;High;Public;Far;78;73
2134;2134;77;1;High;Public;Moderate;80;68
2135;2135;77;2;Medium;Private;Near;62;66
2136;2136;91;1;Medium;Public;Moderate;86;67
2137;2137;83;2;Medium;Private;Near;92;66
2138;2138;63;0;High;Private;Near;94;69
2139;2139;96;1;Low;Public;Near;51;67
2140;2140;61;5;Low;Public;Near;81;61
2141;2141;90;2;Medium;Private;Near;99;70
2142;2142;90;2;Medium;Public;Near;79;70
2143;2143;98;3;Medium;Public;Near;59;70
2144;2144;62;1;High;Private;Moderate;94;64
2145;2145;84;0;Medium;Public;Far;63;65
2146;2146;77;5;Medium;Public;Near;52;70
2147;2147;73;1;High;Public;Moderate;72;62
2148;2148;64;1;Low;Public;Near;55;64
2149;2149;83;1;Low;Private;Far;56;67
2150;2150;79;1;Low;Public;Near;73;63
2151;2151;64;0;High;Public;Near;81;62
2152;2152;84;2;High;Public;Near;95;72
2153;2153;90;3;High;Private;Near;85;69
2154;2154;91;5;Medium;Private;Near;92;72
2155;2155;96;2;Medium;Private;Near;71;68
2156;2156;76;1;Medium;Private;Near;66;64
2157;2157;98;3;Medium;Private;Near;80;72
2158;2158;95;2;High;Public;Near;85;73
2159;2159;72;5;Low;Private;Far;78;67
2160;2160;66;0;Medium;Public;Near;63;64
2161;2161;77;3;Medium;Private;Near;68;65
2162;2162;76;1;High;Public;Moderate;72;67
2163;2163;83;3;High;Public;Moderate;51;68
2164;2164;83;2;High;Public;;94;72
2165;2165;90;1;Low;Public;Moderate;76;71
2166;2166;80;1;Medium;Private;Near;88;66
2167;2167;64;0;Medium;Public;Near;59;59
2168;2168;94;1;High;Public;Near;78;68
2169;2169;72;3;Low;Public;Moderate;96;64
2170;2170;99;2;High;Private;Near;61;70
2171;2171;65;4;Medium;Private;Moderate;67;65
2172;2172;98;2;High;Public;Near;69;72
2173;2173;64;3;Medium;Public;Moderate;69;66
2174;2174;69;2;High;Public;Near;80;68
2175;2175;62;1;Medium;Private;Near;70;62
2176;2176;88;1;Medium;Public;Near;84;70
2177;2177;94;3;Medium;Public;Moderate;74;70
2178;2178;77;0;High;Public;Near;58;64
2179;2179;97;1;High;Public;Moderate;97;76
2180;2180;84;1;Medium;Public;Moderate;62;67
2181;2181;85;2;High;Private;Near;78;69
2182;2182;94;4;High;Public;Far;53;68
2183;2183;72;1;High;Public;Moderate;96;67
2184;2184;74;0;High;Private;Near;96;69
2185;2185;96;2;High;Public;Near;68;67
2186;2186;96;0;High;Private;Near;56;73
2187;2187;99;4;Low;Private;Near;88;71
2188;2188;96;4;Medium;Private;Near;63;70
2189;2189;65;1;Medium;Private;Near;85;65
2190;2190;93;0;Medium;Public;Moderate;96;73
2191;2191;76;1;High;Public;Near;80;65
2192;2192;100;4;Medium;Private;Moderate;93;73
2193;2193;79;0;High;Public;Near;61;70
2194;2194;82;0;Low;Private;Near;96;66
2195;2195;81;3;Low;Public;Moderate;61;66
2196;2196;73;4;High;Private;Moderate;61;64
2197;2197;63;2;Medium;Public;Near;94;68
2198;2198;96;1;High;Public;Near;78;70
2199;2199;92;6;Medium;Private;Near;90;72
2200;2200;66;2;Medium;Public;Near;90;66
2201;2201;91;2;High;Public;Near;82;74
2202;2202;85;0;High;Private;Moderate;59;67
2203;2203;76;2;Medium;Private;Near;85;71
2204;2204;70;2;Medium;Public;Near;53;60
2205;2205;94;3;Medium;Public;;60;68
2206;2206;88;0;Medium;Private;Near;82;69
2207;2207;82;2;High;Public;Near;95;74
2208;2208;84;2;Medium;Public;Near;89;71
2209;2209;64;0;Medium;Private;Near;67;63
2210;2210;79;2;Medium;Private;Moderate;91;66
2211;2211;68;1;High;Private;Near;98;65
2212;2212;68;0;High;Private;Far;67;60
2213;2213;86;3;Medium;Public;Near;59;69
2214;2214;96;1;Medium;Public;Near;60;69
2215;2215;76;2;Medium;Public;Moderate;70;67
2216;2216;68;1;Medium;Public;Moderate;53;65
2217;2217;86;1;High;Private;Near;74;70
2218;2218;95;0;Medium;Private;Moderate;87;71
2219;2219;90;3;High;Public;Moderate;77;73
2220;2220;95;0;Medium;Public;Moderate;99;70
2221;2221;81;1;High;Public;Near;73;67
2222;2222;90;1;Medium;Public;Moderate;51;67
2223;2223;66;0;High;Public;Moderate;74;65
2224;2224;74;2;Medium;Public;;96;69
2225;2225;76;1;;Public;;55;65
2226;2226;80;1;Medium;Private;Far;61;68
2227;2227;97;0;Medium;Public;Near;86;74
2228;2228;95;0;Medium;Private;Near;65;68
2229;2229;65;1;Medium;Public;Near;88;61
2230;2230;67;3;Medium;Public;Near;71;67
2231;2231;74;1;Medium;Private;Near;90;66
2232;2232;72;8;High;Public;Near;78;69
2233;2233;85;1;High;Private;Near;54;62
2234;2234;96;0;Medium;Public;Moderate;69;71
2235;2235;98;1;Medium;Private;Moderate;67;71
2236;2236;86;0;High;Private;Near;91;72
2237;2237;94;1;High;Public;Far;81;69
2238;2238;81;6;High;Private;Near;89;67
2239;2239;68;1;High;Public;Moderate;69;63
2240;2240;81;1;High;Public;Moderate;85;68
2241;2241;82;0;Medium;Public;Near;53;69
2242;2242;90;0;Medium;Public;Near;52;65
2243;2243;69;0;Medium;Public;Near;64;70
2244;2244;75;2;High;Private;Moderate;89;65
2245;2245;75;0;Medium;Public;Moderate;77;67
2246;2246;98;0;High;Public;Near;70;72
2247;2247;78;1;High;Public;Near;95;69
2248;2248;90;2;Medium;Public;Near;75;69
2249;2249;90;4;High;Public;Near;81;71
2250;2250;71;1;High;Public;Far;99;67
2251;2251;83;3;Low;Public;Near;76;65
2252;2252;96;2;High;Public;Far;89;70
2253;2253;79;1;Medium;Private;Moderate;71;63
2254;2254;98;0;Medium;Private;Far;52;71
2255;2255;69;1;Medium;Public;Near;92;64
2256;2256;63;5;Medium;Private;Near;97;69
2257;2257;96;0;Medium;Private;Near;72;69
2258;2258;94;1;High;Public;Moderate;75;70
2259;2259;100;2;Medium;Private;Moderate;71;64
2260;2260;87;1;Medium;Public;Near;100;70
2261;2261;97;0;High;Private;Moderate;95;74
2262;2262;93;1;Medium;Public;Near;52;69
2263;2263;94;3;Medium;Private;Near;89;73
2264;2264;83;1;High;Private;Near;80;66
2265;2265;75;1;High;Public;Near;51;67
2266;2266;97;6;Medium;Public;Near;72;76
2267;2267;77;2;Low;Public;Near;57;61
2268;2268;82;0;Medium;Public;Moderate;94;68
2269;2269;78;1;Medium;Private;Moderate;51;63
2270;2270;83;1;Medium;Public;Near;94;67
2271;2271;79;3;Medium;Public;Moderate;97;66
2272;2272;62;2;High;Public;Near;54;62
2273;2273;95;0;High;Private;Near;86;69
2274;2274;78;3;Medium;Private;Moderate;77;67
2275;2275;84;2;Medium;Public;Moderate;98;66
2276;2276;66;2;Medium;Public;Moderate;90;63
2277;2277;60;1;Medium;Public;Moderate;85;64
2278;2278;70;2;Medium;Private;Moderate;96;64
2279;2279;88;1;High;Public;Near;58;67
2280;2280;64;4;Medium;Public;Moderate;69;66
2281;2281;96;1;Low;Public;Near;92;68
2282;2282;69;1;High;Public;Moderate;55;62
2283;2283;68;1;Medium;Public;Near;97;68
2284;2284;67;1;Medium;Private;Near;87;63
2285;2285;61;1;High;Public;Moderate;72;62
2286;2286;91;2;Medium;Public;Near;67;72
2287;2287;95;4;Medium;Public;Moderate;57;69
2288;2288;85;3;High;Public;Near;55;67
2289;2289;68;1;High;Private;Moderate;71;65
2290;2290;71;1;Medium;Public;Near;92;69
2291;2291;79;1;Medium;Public;Near;77;72
2292;2292;98;2;Low;Public;Near;73;70
2293;2293;70;1;Low;Public;Moderate;66;91
2294;2294;89;2;Medium;Public;Moderate;58;65
2295;2295;78;0;Medium;Public;Near;100;62
2296;2296;72;2;Medium;Private;Far;51;65
2297;2297;78;1;High;Public;Moderate;66;67
2298;2298;63;4;High;Public;Far;88;67
2299;2299;92;2;Medium;Public;Near;76;72
2300;2300;70;1;High;Public;Near;66;60
2301;2301;89;0;Low;Public;Near;100;69
2302;2302;63;0;Low;Private;Near;81;61
2303;2303;98;1;Medium;Private;Near;65;70
2304;2304;68;2;Medium;Public;Near;92;68
2305;2305;95;2;Medium;Private;Near;58;75
2306;2306;92;1;Medium;Public;Moderate;73;75
2307;2307;99;2;Medium;Private;Far;92;72
2308;2308;79;1;Medium;Private;Moderate;99;66
2309;2309;89;5;Medium;Public;Near;69;71
2310;2310;75;4;High;Public;Near;57;70
2311;2311;67;2;Medium;Public;Near;78;63
2312;2312;78;0;High;Public;Near;97;72
2313;2313;67;1;High;Private;Near;83;65
2314;2314;99;3;Low;Private;Near;80;71
2315;2315;64;0;Medium;Public;Near;65;65
2316;2316;84;1;High;Private;Moderate;80;69
2317;2317;85;3;High;Public;Moderate;94;71
2318;2318;82;2;Medium;Public;Near;69;68
2319;2319;86;2;High;Public;Near;62;66
2320;2320;65;0;Medium;Public;Moderate;74;60
2321;2321;82;0;Medium;Public;Near;69;68
2322;2322;71;1;Medium;Private;Near;73;67
2323;2323;98;3;High;Private;Near;55;71
2324;2324;90;2;Medium;Private;Near;67;74
2325;2325;99;2;Low;Public;Near;91;70
2326;2326;62;2;Medium;Public;Moderate;70;63
2327;2327;71;0;Medium;Public;Near;98;64
2328;2328;68;3;Medium;Public;Near;85;66
2329;2329;60;0;Low;Public;Near;68;64
2330;2330;70;1;High;Private;Moderate;63;69
2331;2331;87;2;Low;Private;Near;84;71
2332;2332;69;1;Medium;Public;Near;65;64
2333;2333;80;1;High;Public;Near;96;65
2334;2334;96;2;Medium;Private;Near;56;69
2335;2335;88;1;Low;Public;Near;51;68
2336;2336;76;3;Low;Public;Near;61;68
2337;2337;75;0;High;Private;Moderate;80;68
2338;2338;78;1;Medium;Public;Far;92;65
2339;2339;67;1;Medium;Private;Near;59;65
2340;2340;85;1;Medium;Private;Near;79;66
2341;2341;75;0;Medium;Public;Near;57;66
2342;2342;94;2;High;Public;Moderate;78;71
2343;2343;90;0;High;Public;Near;51;68
2344;2344;84;0;High;Public;Moderate;78;65
2345;2345;75;0;Low;Private;Moderate;76;63
2346;2346;68;1;Low;Private;Far;52;66
2347;2347;91;7;High;Public;Moderate;84;71
2348;2348;79;2;Medium;Private;Moderate;79;65
2349;2349;69;3;Medium;Private;Near;81;68
2350;2350;68;2;Medium;Public;Near;76;66
2351;2351;67;2;Medium;Public;Near;86;64
2352;2352;91;1;Low;Public;Near;76;70
2353;2353;69;4;Medium;Public;Moderate;96;70
2354;2354;81;1;;Private;Near;97;66
2355;2355;78;3;;Public;Moderate;86;70
2356;2356;83;2;High;Public;Near;96;71
2357;2357;95;2;High;Private;Moderate;96;70
2358;2358;95;1;Medium;Private;Near;63;70
2359;2359;78;2;Medium;Public;Near;100;66
2360;2360;61;1;Medium;Public;Near;63;64
2361;2361;77;5;Medium;Public;Moderate;51;66
2362;2362;84;1;Medium;Public;Near;98;68
2363;2363;82;2;Medium;Public;Near;61;61
2364;2364;86;2;High;Private;Near;79;72
2365;2365;66;1;High;Private;Moderate;99;66
2366;2366;86;1;Medium;Public;Near;52;68
2367;2367;67;1;High;Public;Far;63;61
2368;2368;90;0;Medium;Public;Near;80;67
2369;2369;74;3;Medium;Private;Near;88;66
2370;2370;88;3;Medium;Public;Moderate;90;74
2371;2371;62;0;Low;Public;Near;94;66
2372;2372;76;4;Medium;Private;Moderate;58;67
2373;2373;88;4;Medium;Private;Near;69;71
2374;2374;69;0;High;Public;Far;86;66
2375;2375;92;0;Low;Private;Moderate;86;71
2376;2376;85;4;Medium;Private;Moderate;65;72
2377;2377;84;2;Medium;Public;Near;65;66
2378;2378;74;1;Medium;Public;Near;66;62
2379;2379;79;1;High;Public;Moderate;95;66
2380;2380;84;2;High;Public;Moderate;95;69
2381;2381;79;0;High;Public;Near;51;64
2382;2382;88;4;High;Public;Near;66;69
2383;2383;77;2;Medium;Private;Near;70;69
2384;2384;68;0;Medium;Public;Moderate;99;64
2385;2385;69;3;High;Public;Near;97;68
2386;2386;60;4;High;Public;Near;81;63
2387;2387;72;1;Medium;Public;Near;52;64
2388;2388;90;2;Medium;Public;Near;60;69
2389;2389;92;1;Medium;Public;Near;72;71
2390;2390;68;2;Medium;Private;Far;98;67
2391;2391;98;3;Medium;Public;;55;67
2392;2392;80;2;High;Public;Far;90;66
2393;2393;97;0;Low;Private;Near;60;67
2394;2394;88;2;Medium;Public;Near;75;68
2395;2395;89;1;High;Public;Near;88;69
2396;2396;63;0;High;Public;Moderate;85;62
2397;2397;69;2;High;Private;Moderate;89;66
2398;2398;60;1;High;Private;Near;91;63
2399;2399;89;2;Low;Public;Near;65;67
2400;2400;74;3;;Public;Far;68;68
2401;2401;91;2;Medium;Public;Far;91;66
2402;2402;74;3;Medium;Private;Near;52;66
2403;2403;93;0;Medium;Private;Moderate;76;67
2404;2404;65;1;Medium;Private;Near;96;66
2405;2405;67;1;Medium;Public;Near;94;69
2406;2406;74;2;Medium;Public;Near;90;72
2407;2407;76;0;Medium;Private;Near;51;60
2408;2408;74;0;Medium;Public;Moderate;94;68
2409;2409;91;3;Medium;Public;Near;96;72
2410;2410;64;1;Medium;Public;Near;83;64
2411;2411;74;0;Medium;Public;Moderate;65;65
2412;2412;93;3;High;Private;Near;74;76
2413;2413;63;0;Medium;Private;Near;88;59
2414;2414;98;0;Medium;Public;Moderate;91;67
