"student_id","sleep_hours","motivation_level","physical_activity","learning_desabilities","gender","exam_score","attendance","tutoring_sessions","teacher_quality","school_type","distance_from_home","previous_scores","parental_involvement","family_income","parental_education_level","hours_studied","access_to_resources","extraurricular_activities","internet_access","peer_influence"
2529,10,"Medium",5,"No","Male",73,84,1,"Medium","Public","Near",68,"Medium","Low","High School",32,"High","Yes","Yes","Positive"
2537,6,"Medium",3,"No","Female",73,93,1,"High","Public","Near",87,"Low","Medium","College",26,"High","No","Yes","Positive"
2547,5,"Low",4,"No","Female",73,96,3,"Medium","Public","Near",84,"High","High","Postgraduate",12,"High","Yes","Yes","Positive"
4597,7,"Medium",4,"No","Male",73,98,2,"High","Private","Near",92,"High","Low","High School",18,"Medium","Yes","Yes","Neutral"
958,7,"Medium",2,"No","Male",73,95,2,"Medium","Public","Near",75,"Medium","High","College",23,"Medium","Yes","Yes","Positive"
2616,9,"High",2,"No","Female",73,98,2,"High","Public","Far",99,"Medium","Low","Postgraduate",24,"Low","Yes","Yes","Neutral"
2627,4,"High",4,"No","Female",73,87,2,"High","Public","Near",62,"High","Low","High School",28,"Medium","Yes","Yes","Positive"
479,7,"Low",3,"No","Male",73,86,3,"Medium","Public","Near",79,"Low","Low","High School",38,"High","Yes","Yes","Negative"
2727,6,"Medium",1,"No","Female",73,97,2,"Medium","Public","Near",66,"High","Medium","College",26,"Low","Yes","Yes","Positive"
2728,8,"Medium",3,"No","Female",73,81,1,"Medium","Public","Near",92,"Medium","High","College",28,"High","Yes","Yes","Positive"
5845,8,"Medium",2,"No","Female",73,97,3,NULL,"Public","Near",51,"High","Low","Postgraduate",24,"Medium","Yes","Yes","Neutral"
1354,7,"Medium",2,"No","Male",72,87,4,"Low","Private","Near",86,"High","Medium","College",25,"Medium","No","Yes","Negative"
6128,5,"Medium",3,"No","Female",72,79,0,"High","Public","Near",89,"Medium","High","Postgraduate",29,"High","No","Yes","Neutral"
6507,7,"High",3,"No","Male",72,81,3,"Medium","Private","Moderate",90,"Medium","Medium","High School",28,"High","Yes","Yes","Negative"
1538,8,"Low",4,"No","Male",72,100,0,"High","Public","Near",98,"High","Medium","College",17,"Medium","No","Yes","Positive"
5078,6,"Low",3,"No","Female",72,94,1,"High","Public","Near",92,"Low","Low","High School",26,"High","Yes","Yes","Neutral"
4289,9,"Medium",3,"No","Female",72,90,0,"High","Private","Near",83,"Medium","Medium","High School",29,"Medium","Yes","Yes","Positive"
1085,6,"High",4,"No","Male",72,97,1,"Low","Private","Near",88,"Medium","Low","College",22,"Medium","Yes","Yes","Positive"
1075,9,"Medium",3,"No","Male",72,93,0,"Medium","Public","Moderate",89,"Medium","Low","College",26,"High","Yes","Yes","Neutral"
4295,8,"Medium",3,"No","Female",72,81,0,"High","Public","Near",93,"Medium","High","College",27,"High","Yes","Yes","Neutral"
4816,9,"High",4,"No","Female",72,97,3,"Medium","Public","Moderate",60,"High","Medium","Postgraduate",19,"Medium","Yes","Yes","Negative"
4625,5,"Medium",5,"No","Male",72,98,2,"Medium","Public","Moderate",79,"Medium","High","High School",22,"High","Yes","No","Neutral"
6119,8,"Medium",3,"No","Male",72,97,1,"High","Public","Near",60,"Medium","Medium","College",23,"High","Yes","Yes","Neutral"
4833,7,"Medium",2,"No","Female",72,91,0,"Medium","Private","Moderate",76,"High","Medium","High School",24,"High","Yes","Yes","Positive"
5731,7,"High",2,"No","Male",72,86,1,"High","Public","Near",93,"High","Medium","High School",19,"High","Yes","Yes","Neutral"
3752,7,"Medium",1,"No","Male",72,98,1,"Medium","Public","Near",60,"High","High","High School",22,"Medium","Yes","Yes","Positive"
1336,6,"Medium",3,"No","Female",72,99,5,"Medium","Public","Near",67,"Medium","Low","Postgraduate",18,"Medium","No","Yes","Positive"
3729,7,"Medium",4,"No","Male",72,92,2,"Medium","Public","Near",77,"High","High","Postgraduate",13,"High","Yes","Yes","Positive"
1068,7,"Low",2,"No","Male",72,95,3,"Medium","Public","Moderate",81,"Medium","Low","High School",27,"High","No","Yes","Neutral"
3728,4,"Medium",4,"No","Male",72,92,2,"Medium","Public","Moderate",54,"Medium","High","High School",26,"High","No","Yes","Positive"
6593,8,"Low",5,"Yes","Male",72,100,0,"Medium","Private","Near",100,"Medium","Low","High School",29,"Low","Yes","Yes","Neutral"
796,7,"Medium",2,"No","Male",72,89,2,"High","Public","Moderate",92,"Medium","Low","Postgraduate",26,"Low","Yes","Yes","Positive"
2560,9,"Medium",4,"No","Male",72,100,2,"Medium","Public","Near",60,"Low","Medium","High School",26,"Medium","No","Yes","Positive"
4504,10,"Low",1,"No","Male",72,99,1,"Medium","Private","Near",98,"Medium","Medium","College",22,"Medium","No","Yes","Neutral"
4845,9,"Medium",4,"Yes","Male",72,87,1,"High","Public","Near",88,"High","Low","College",27,"Medium","Yes","Yes","Positive"
3708,8,"High",4,"No","Male",72,95,3,"High","Public","Near",52,"Low","High","College",28,"Medium","No","Yes","Negative"
5197,8,"Low",2,"Yes","Female",72,98,1,"Low","Public","Moderate",90,"High","High","Postgraduate",26,"Low","No","Yes","Positive"
1642,8,"Low",2,"No","Male",72,99,0,"Medium","Public","Far",100,"Low","Medium","High School",28,"Medium","Yes","Yes","Positive"
1651,7,"Low",3,"No","Male",72,97,2,"High","Public","Near",81,"Low","Medium","High School",23,"High","Yes","Yes","Neutral"
3684,6,"Low",4,"No","Male",72,98,0,"Medium","Private","Moderate",93,"High","Low","High School",27,"Low","Yes","Yes","Neutral"
5149,8,"Medium",4,"No","Female",72,93,1,"Medium","Public","Near",78,"Low","High","High School",24,"High","Yes","Yes","Neutral"
1661,5,"High",3,"No","Male",72,92,1,"Low","Public","Moderate",96,"Low","Medium","College",28,"High","No","Yes","Neutral"
3679,5,"Low",4,"No","Male",72,95,3,"Medium","Public","Near",66,"Medium","Medium","High School",27,"Medium","No","Yes","Neutral"
2999,7,"Medium",3,"No","Female",72,100,2,"Medium","Private","Near",64,"Medium","Low","College",22,"Medium","Yes","Yes","Positive"
1680,7,"Medium",3,"No","Female",72,96,2,"High","Private","Near",84,"High","Low","College",17,"Medium","Yes","Yes","Positive"
1682,4,"High",4,"No","Male",72,92,0,"Medium","Public","Near",82,"Medium","Medium","Postgraduate",20,"High","Yes","Yes","Neutral"
4856,6,"High",2,"No","Male",72,87,3,"Medium","Private","Moderate",69,"Medium","Low","College",34,"Low","No","Yes","Neutral"
1699,8,"High",3,"No","Female",72,90,2,"Low","Public","Near",76,"Medium","Medium","High School",23,"High","Yes","Yes","Positive"
3667,8,"High",3,"No","Male",72,92,1,"High","Private","Near",64,"Low","High","College",24,"High","Yes","Yes","Neutral"
311,6,"High",2,"No","Female",72,97,2,"Medium","Private","Moderate",66,"High","Medium","College",19,"Medium","Yes","Yes","Positive"
2568,6,"Medium",3,"No","Female",72,88,1,"Low","Private","Near",87,"High","High","High School",24,"Medium","Yes","Yes","Positive"
1713,9,"Medium",2,"No","Male",72,99,3,"High","Public","Moderate",94,"High","High","Postgraduate",7,"Medium","Yes","Yes","Positive"
797,8,"Medium",3,"No","Female",72,89,2,"Medium","Public","Near",91,"Medium","Medium","High School",20,"High","Yes","Yes","Positive"
6102,10,"High",4,"No","Male",72,90,2,"High","Private","Near",95,"Low","High","College",21,"Medium","Yes","Yes","Neutral"
1730,7,"Low",3,"No","Male",72,90,0,"Medium","Public","Near",61,"High","Low","High School",31,"High","No","Yes","Positive"
799,7,"High",1,"No","Male",72,98,4,"Medium","Private","Near",75,"Low","Medium","College",20,"Medium","No","Yes","Positive"
5066,8,"Medium",3,"No","Female",72,93,1,"High","Public","Near",68,"High","High","Postgraduate",19,"Medium","Yes","Yes","Positive"
3665,7,"Medium",3,"No","Female",72,90,0,"Medium","Private","Near",92,"High","Low","High School",27,"High","No","Yes","Neutral"
1313,8,"Medium",3,"No","Male",72,89,0,"Medium","Public","Far",82,"High","Medium","Postgraduate",28,"High","No","Yes","Negative"
3634,5,"Medium",3,"No","Female",72,99,0,"Medium","Public","Moderate",99,"Medium","Low","High School",24,"Medium","Yes","Yes","Positive"
1308,6,"Medium",3,"No","Female",72,90,2,"High","Public","Near",69,"High","High","High School",20,"High","Yes","Yes","Neutral"
2992,8,"High",3,"No","Female",72,90,0,"Medium","Public","Moderate",99,"High","Low","College",24,"High","No","Yes","Neutral"
3616,5,"High",5,"No","Female",72,97,0,"Low","Public","Near",74,"High","Medium","High School",24,"Medium","No","Yes","Neutral"
1294,5,"Low",2,"No","Male",72,93,1,"Medium","Public","Near",90,"Medium","Medium","College",25,"High","No","Yes","Positive"
1002,7,"Low",2,"No","Female",72,100,1,"Medium","Public","Far",74,"High","Medium","High School",26,"High","No","Yes","Neutral"
4523,4,"Low",4,"No","Female",72,100,0,"High","Public","Near",69,"High","Low","Postgraduate",23,"Low","Yes","Yes","Positive"
6069,7,"Medium",4,"No","Male",72,90,1,"Medium","Public","Moderate",96,"Medium","Medium","College",25,"Medium","Yes","Yes","Positive"
801,10,"Low",3,"Yes","Female",72,96,2,"Medium","Private","Near",64,"High","Medium","High School",26,"High","Yes","Yes","Neutral"
2980,8,"High",1,"No","Male",72,97,2,"High","Public","Moderate",71,"Medium","High","College",21,"Medium","No","Yes","Neutral"
4885,9,"Medium",3,"No","Female",72,88,2,"High","Public","Near",71,"High","High","High School",24,"High","No","Yes","Negative"
1801,8,"Medium",3,"No","Male",72,85,2,"High","Public","Near",53,"High","Low","High School",31,"Medium","No","Yes","Positive"
2584,6,"Low",4,"No","Male",72,87,4,"Medium","Public","Moderate",91,"High","High","High School",27,"Low","Yes","Yes","Neutral"
4715,7,"Low",3,"No","Male",72,89,5,"Medium","Public","Moderate",84,"Medium","High","Postgraduate",20,"High","No","Yes","Neutral"
6500,6,"Medium",5,"No","Male",72,97,0,"High","Public","Moderate",76,"High","Medium","High School",18,"High","Yes","Yes","Neutral"
4888,7,"Low",3,"No","Female",72,88,1,"High","Public","Near",68,"Medium","Medium","College",30,"Medium","Yes","Yes","Positive"
2585,8,"High",4,"No","Male",72,90,0,"Medium","Public","Moderate",96,"High","Medium","High School",27,"Medium","No","Yes","Negative"
5158,6,"Low",3,"No","Male",72,82,2,"Medium","Private","Near",97,"Medium","Low","College",38,"Low","No","Yes","Negative"
1825,4,"Low",2,"No","Male",72,96,2,"Medium","Private","Near",78,"Medium","High","High School",21,"High","Yes","Yes","Positive"
6054,8,"Medium",3,"No","Male",72,93,2,"Medium","Public","Near",93,"Low","Medium","College",25,"Medium","No","Yes","Positive"
5448,8,"Low",1,"No","Male",72,93,2,"High","Private","Near",82,"Medium","High","High School",31,"Low","No","Yes","Neutral"
187,8,"High",3,"No","Male",72,87,0,"Medium","Private","Moderate",91,"High","High","High School",23,"High","Yes","Yes","Positive"
736,9,"High",4,"No","Female",72,98,1,"Medium","Public","Moderate",88,"Medium","Low","Postgraduate",23,"Medium","No","Yes","Negative"
3582,7,"High",3,"No","Male",72,73,3,"High","Public","Near",65,"Medium","High","Postgraduate",28,"High","Yes","Yes","Positive"
721,8,"Medium",2,"No","Female",72,98,4,"Medium","Private","Near",69,"Medium","High","High School",22,"Low","Yes","Yes","Positive"
3570,6,"Low",2,"No","Female",72,97,0,"High","Public","Near",59,"High","Low","High School",25,"High","No","Yes","Positive"
3565,6,"Medium",3,"No","Female",72,93,2,"Medium","Public","Far",78,"Medium","Medium","Postgraduate",26,"Medium","Yes","Yes","Neutral"
3564,7,"Medium",2,"No","Female",72,88,2,"Medium","Public","Near",60,"High","Low","High School",27,"High","Yes","Yes","Positive"
5832,8,"Medium",4,"No","Male",72,99,1,"Medium","Private","Near",53,"High","Medium","College",19,"High","Yes","Yes","Neutral"
2978,6,"High",5,"No","Male",72,99,1,"High","Public","Near",73,"Medium","High","Postgraduate",15,"High","Yes","Yes","Negative"
4540,9,"Medium",4,"No","Male",72,92,3,"High","Public","Moderate",79,"Medium","Medium","College",25,"Medium","Yes","Yes","Negative"
5480,8,"Medium",3,"No","Male",72,78,0,"Medium","Public","Near",85,"High","High","College",27,"High","No","Yes","Positive"
4918,8,"High",2,"No","Male",72,97,1,"Medium","Public","Moderate",95,"High","Medium","Postgraduate",18,"Low","Yes","Yes","Positive"
464,6,"High",4,"No","Male",72,88,2,"Medium","Private","Moderate",90,"High","High","High School",21,"Medium","Yes","Yes","Neutral"
6496,6,"Low",4,"No","Female",72,96,1,"Medium","Public","Near",72,"Medium","High","College",22,"Medium","Yes","Yes","Positive"
3561,6,"Medium",3,"No","Female",72,100,1,"Medium","Public","Moderate",94,"Low","High","College",21,"High","No","No","Positive"
769,8,"Medium",4,"No","Male",72,86,4,"High","Private","Near",99,"High","Low","College",16,"High","No","Yes","Neutral"
4931,8,"Medium",3,"No","Male",72,87,3,"High","Public","Near",56,"Medium","Medium","Postgraduate",27,"Medium","Yes","Yes","Neutral"
1911,9,"Medium",3,"No","Male",72,96,0,"Medium","Private","Near",53,"Medium","Medium","High School",30,"High","Yes","No","Neutral"
613,5,"Medium",5,"No","Male",72,89,2,"Medium","Private","Near",97,"Medium","Medium","High School",22,"High","Yes","Yes","Neutral"
1914,4,"Medium",4,"No","Female",72,100,2,"Medium","Public","Near",59,"High","Medium","High School",23,"Low","Yes","Yes","Positive"
5049,9,"High",4,"No","Female",72,94,0,"Medium","Public","Near",63,"Medium","Low","College",27,"High","No","Yes","Neutral"
2974,7,"High",3,"No","Male",72,75,1,"Medium","Private","Moderate",97,"High","Medium","College",32,"Medium","Yes","Yes","Neutral"
6045,6,"Low",4,"No","Male",72,97,2,"Medium","Private","Near",80,"Medium","Medium","College",21,"Medium","Yes","Yes","Positive"
2935,7,"Medium",4,"No","Male",72,98,1,"Medium","Public","Near",98,"Low","Medium","Postgraduate",25,"Medium","No","Yes","Negative"
5501,7,"High",3,"No","Male",72,91,2,"Medium","Public","Moderate",51,"High","Medium","High School",24,"High","Yes","Yes","Neutral"
4946,8,"High",2,"No","Female",72,90,3,"High","Private","Near",65,"Medium","Medium","High School",26,"Medium","No","Yes","Positive"
1955,9,"Medium",5,"No","Male",72,96,0,"High","Private","Near",97,"High","Medium","College",16,"Medium","Yes","Yes","Neutral"
4706,7,"High",3,"No","Male",72,100,2,"Low","Private","Moderate",89,"Low","High","College",19,"High","Yes","Yes","Neutral"
610,8,"Medium",4,"No","Female",72,97,1,"Medium","Private","Moderate",58,"Medium","High","College",29,"Medium","No","Yes","Negative"
2922,7,"Medium",3,"No","Male",72,80,1,"High","Public","Moderate",100,"Medium","High","Postgraduate",24,"High","No","Yes","Neutral"
2739,7,"High",4,"No","Male",72,78,5,"Medium","Public","Moderate",96,"Low","Low","College",29,"Medium","Yes","Yes","Positive"
5517,6,"Low",3,"No","Female",72,97,1,"Medium","Private","Near",99,"Medium","Low","High School",23,"Medium","Yes","Yes","Positive"
2619,6,"Medium",3,"No","Male",72,87,3,"Medium","Public","Near",98,"Medium","Medium","College",23,"Medium","Yes","Yes","Neutral"
4961,4,"Medium",4,"No","Female",72,96,0,"High","Public","Near",93,"Medium","Medium","College",18,"Medium","Yes","Yes","Positive"
1971,6,"Medium",3,"No","Male",72,95,2,"Medium","Public","Far",92,"High","Low","High School",24,"Medium","Yes","Yes","Neutral"
5046,4,"Low",1,"No","Female",72,98,1,"High","Public","Moderate",88,"High","Medium","College",26,"Low","No","Yes","Neutral"
373,7,"Medium",4,"No","Male",72,81,2,"Medium","Public","Near",68,"High","Medium","Postgraduate",29,"Medium","No","Yes","Neutral"
1977,9,"Low",2,"No","Female",72,93,1,"Medium","Public","Near",78,"Medium","Low","Postgraduate",27,"Medium","Yes","Yes","Positive"
374,5,"Medium",2,"No","Male",72,96,1,"Medium","Private","Near",63,"Medium","High","Postgraduate",26,"Medium","Yes","No","Positive"
6220,8,"Medium",1,"No","Female",72,88,3,"Medium","Public","Moderate",93,"Low","Low","Postgraduate",28,"High","Yes","Yes","Negative"
1247,7,"High",1,"No","Male",72,97,1,"Medium","Public","Moderate",94,"High","Medium","College",20,"Medium","Yes","Yes","Negative"
2751,8,"Low",2,"No","Male",72,91,2,"Medium","Public","Near",84,"High","Low","High School",31,"Medium","Yes","Yes","Negative"
5523,7,"High",4,"No","Male",72,83,2,"Medium","Public","Near",85,"High","Low","College",25,"High","Yes","Yes","Negative"
6224,7,"Medium",2,"No","Male",72,88,0,"Medium","Private","Near",83,"Medium","Low","High School",31,"High","No","Yes","Neutral"
6531,7,"High",2,"No","Female",72,90,1,"Medium","Public","Near",87,"High","Low","High School",23,"High","No","Yes","Neutral"
379,10,"Low",3,"No","Female",72,76,1,"Medium","Private","Near",92,"Medium","High","Postgraduate",33,"Medium","Yes","Yes","Positive"
6033,6,"Medium",4,"No","Female",72,87,1,"High","Private","Near",93,"Medium","High","Postgraduate",23,"Low","Yes","Yes","Positive"
5225,5,"Medium",4,"No","Female",72,80,1,"Medium","Public","Far",78,"High","Low","College",38,"Medium","No","Yes","Positive"
144,6,"Medium",2,"No","Female",72,91,0,"Medium","Private","Near",100,"High","High","Postgraduate",21,"Medium","No","Yes","Neutral"
2033,8,"Medium",3,"No","Male",72,84,1,"Medium","Public","Far",93,"High","High","Postgraduate",23,"High","Yes","Yes","Positive"
2035,7,"Low",3,"No","Male",72,91,3,"Medium","Public","Near",57,"High","Medium","College",26,"Medium","Yes","Yes","Negative"
3481,7,"Low",3,"No","Male",72,99,1,"Medium","Public","Near",81,"Medium","Medium","Postgraduate",18,"High","Yes","Yes","Neutral"
822,7,"Medium",3,"No","Male",72,98,1,"Medium","Public","Near",59,"Medium","Low","High School",28,"Medium","Yes","Yes","Positive"
4990,9,"Medium",4,"No","Male",72,91,0,"Medium","Public","Moderate",98,"Medium","Medium",NULL,34,"Low","No","Yes","Neutral"
2045,7,"High",1,"No","Male",72,96,3,"Low","Public","Near",84,"Medium","Medium","Postgraduate",15,"High","Yes","Yes","Positive"
2628,6,"Low",4,"No","Male",72,97,1,"High","Public","Near",68,"Medium","Medium","College",24,"Medium","Yes","Yes","Neutral"
2636,7,"Medium",3,"No","Male",72,83,3,"Medium","Private","Moderate",89,"Medium","Low","High School",26,"High","Yes","Yes","Positive"
4993,10,"Medium",1,"No","Female",72,89,0,"Medium","Private","Near",94,"High","High","College",19,"High","Yes","Yes","Neutral"
56,5,"Medium",4,"No","Male",72,88,1,"High","Private","Moderate",79,"Medium","Low","College",26,"High","Yes","Yes","Positive"
598,7,"Medium",3,"No","Male",72,98,3,"Medium","Public","Near",83,"High","Low","College",14,"High","Yes","No","Positive"
4562,6,"Low",3,"Yes","Female",72,94,2,"Medium","Private","Near",88,"Low","Low","College",30,"Medium","Yes","Yes","Neutral"
4997,9,"Medium",4,"No","Male",72,84,3,"Medium","Public","Far",93,"High","High","High School",24,"High","No","Yes","Neutral"
474,7,"Medium",1,"Yes","Male",72,85,2,"High","Private","Near",98,"Medium","Low","High School",28,"High","Yes","Yes","Positive"
2090,6,"High",4,"No","Female",72,74,3,"High","Public","Far",91,"High","Low","College",29,"Medium","Yes","Yes","Positive"
5134,8,"Low",3,"No","Male",72,94,3,"Medium","Public","Moderate",76,"Medium","Medium","High School",23,"High","No","Yes","Positive"
6023,5,"Medium",3,"No","Female",72,84,1,"Medium","Public","Near",86,"Medium","Medium","High School",35,"Medium","No","Yes","Neutral"
3471,5,"Medium",1,"No","Male",72,96,4,"Medium","Private","Moderate",67,"Medium","High","High School",19,"High","Yes","Yes","Neutral"
1236,8,"Medium",2,"No","Female",72,73,2,"High","Public","Near",100,"High","High","High School",30,"Medium","Yes","Yes","Neutral"
6339,8,"High",4,"No","Female",72,97,2,"High","Public","Moderate",96,"Low","Low","College",21,"Medium","Yes","Yes","Positive"
2649,8,"Low",5,"No","Female",72,97,4,"Medium","Public","Near",84,"Medium","Medium","High School",20,"Low","Yes","Yes","Positive"
4416,8,"High",2,"No","Male",72,93,0,"Medium","Private","Near",90,"High","High","College",24,"Low","Yes","Yes","Negative"
5909,5,"Medium",4,"No","Female",72,80,0,"Medium","Private","Near",80,"High","Low","Postgraduate",30,"High","No","Yes","Positive"
5997,7,"Low",2,"No","Male",72,93,1,"Medium","Private","Near",84,"High","Medium","Postgraduate",27,"Low","Yes","Yes","Neutral"
389,7,"Medium",5,"No","Female",72,91,1,"Medium","Private","Near",79,"High","Low","High School",26,"Medium","Yes","Yes","Neutral"
1225,7,"Medium",3,"No","Male",72,99,1,"Medium","Public","Near",69,"High","High","High School",19,"Medium","No","Yes","Positive"
1223,8,"Low",1,"No","Female",72,96,1,"Medium","Public","Moderate",75,"High","Medium","College",24,"High","No","Yes","Positive"
2152,6,"Medium",2,"No","Male",72,84,2,"High","Public","Near",95,"Low","High","College",30,"Medium","No","Yes","Negative"
2154,9,"Medium",2,"No","Male",72,91,5,"Medium","Private","Near",92,"Medium","Low","High School",21,"High","Yes","Yes","Negative"
2157,7,"Low",1,"No","Female",72,98,3,"Medium","Private","Near",80,"High","Low","College",18,"High","Yes","Yes","Neutral"
5783,5,"Medium",3,"No","Female",72,87,2,"Medium","Public","Moderate",96,"High","Medium","College",23,"Medium","No","Yes","Positive"
2164,9,"Medium",2,"No","Male",72,83,2,"High","Public",NULL,94,"Medium","Low","High School",27,"High","Yes","Yes","Positive"
4682,4,"Medium",4,"No","Male",72,94,4,"High","Public","Moderate",57,"High","Medium","High School",17,"High","Yes","Yes","Neutral"
2172,7,"High",2,"No","Female",72,98,2,"High","Public","Near",69,"High","High","College",20,"Medium","Yes","No","Negative"
3414,5,"Medium",3,"No","Male",72,100,2,"Medium","Private","Near",74,"High","High","Postgraduate",15,"Medium","Yes","Yes","Neutral"
5179,5,"Medium",3,"No","Male",72,98,2,"Medium","Private","Moderate",76,"Medium","Medium","High School",19,"High","Yes","Yes","Positive"
5901,6,"Medium",2,"No","Male",72,91,3,"High","Public","Near",91,"High","High","High School",20,"Medium","No","Yes","Neutral"
5798,8,"Medium",4,"No","Female",72,99,4,"Medium","Public","Near",72,"High","Low","High School",18,"Medium","Yes","Yes","Neutral"
981,7,"Medium",3,"No","Female",72,91,2,"Medium","Public","Near",73,"Medium","Low","High School",25,"High","Yes","Yes","Positive"
2199,4,"High",3,"No","Male",72,92,6,"Medium","Private","Near",90,"Medium","High","High School",16,"Medium","Yes","Yes","Neutral"
5577,6,"High",3,"No","Female",72,99,1,"High","Public","Far",100,"Low","High","High School",16,"High","Yes","Yes","Positive"
554,6,"Medium",3,"No","Male",72,97,1,"High","Public","Near",54,"Medium","Low","Postgraduate",22,"High","Yes","Yes","Positive"
3348,4,"High",5,"Yes","Male",72,86,2,"Medium","Private","Far",85,"Medium","Medium","Postgraduate",30,"High","No","Yes","Neutral"
2670,6,"Medium",3,"No","Male",72,89,2,"Medium","Private","Near",63,"Medium","High","College",24,"High","Yes","Yes","Positive"
3338,8,"Medium",4,"No","Male",72,90,2,"Medium","Public","Near",85,"High","Medium","College",19,"High","No","Yes","Neutral"
2673,6,"Low",2,"No","Male",72,94,0,"Medium","Private","Near",80,"Medium","High","Postgraduate",22,"High","No","Yes","Positive"
1169,10,"Low",1,"No","Female",72,88,2,"High","Public","Far",88,"High","High","Postgraduate",24,"Medium","No","Yes","Positive"
196,5,"Medium",3,"No","Male",72,79,4,"High","Public","Near",100,"High","High","College",22,"Medium","No","Yes","Negative"
3328,5,"High",6,"No","Male",72,88,4,"Medium","Private","Moderate",94,"Medium","Medium","College",16,"High","Yes","Yes","Positive"
2236,10,"Low",4,"No","Female",72,86,0,"High","Private","Near",91,"Medium","Low","College",24,"High","Yes","Yes","Positive"
6331,7,"Medium",3,"No","Female",72,85,1,"High","Public","Near",74,"Medium","Medium","Postgraduate",28,"Medium","Yes","Yes","Positive"
2246,9,"Medium",1,"No","Male",72,98,0,"High","Public","Near",70,"Medium","Low","College",21,"High","Yes","Yes","Positive"
835,6,"Medium",3,"No","Male",72,96,5,"High","Public","Near",71,"Medium","Low","College",20,"Medium","No","Yes","Neutral"
1165,9,"Medium",3,"Yes","Female",72,86,3,"Medium","Public","Near",91,"Medium","High","High School",26,"High","Yes","Yes","Neutral"
987,7,"Low",2,"No","Female",72,88,2,"Low","Public","Near",96,"Medium","Low","High School",29,"High","No","Yes","Positive"
544,10,"High",4,"No","Male",72,87,1,"Medium","Public","Moderate",93,"Medium","Low","High School",29,"High","Yes","Yes","Neutral"
3265,5,"Medium",4,"No","Male",72,96,1,"Medium","Public","Near",69,"Medium","Low","High School",24,"High","Yes","Yes","Positive"
3260,7,"Medium",3,"No","Male",72,93,0,"Medium","Public","Moderate",84,"Medium","High","College",29,"Medium","Yes","Yes","Neutral"
10,8,"Medium",5,"No","Male",72,98,0,"High","Public","Moderate",71,"Medium","High","High School",23,"Medium","Yes","Yes","Positive"
5221,7,"Medium",2,"No","Male",72,82,2,"Medium","Private","Moderate",63,"High","High","Postgraduate",31,"Medium","Yes","No","Positive"
6335,9,"High",1,"No","Male",72,97,2,"High","Public","Moderate",61,"High","Medium","Postgraduate",19,"Medium","Yes","Yes","Neutral"
5637,7,"Medium",3,"No","Female",72,86,0,"High","Public","Near",80,"Low","Low","Postgraduate",33,"Medium","Yes","Yes","Neutral"
3241,4,"Medium",2,"Yes","Male",72,97,1,"Medium","Public",NULL,81,"High","Medium","High School",20,"High","Yes","Yes","Positive"
2286,10,"High",2,"No","Male",72,91,2,"Medium","Public","Near",67,"High","Low","College",23,"High","No","Yes","Positive"
2291,6,"Medium",2,"No","Male",72,79,1,"Medium","Public","Near",77,"High","Low","High School",30,"High","Yes","Yes","Positive"
3214,8,"Low",3,"No","Male",72,92,2,"Low","Private","Near",58,"Medium","Medium","College",29,"High","No","Yes","Neutral"
881,5,"Medium",5,"No","Male",72,72,1,"Medium","Public","Moderate",75,"High","Low","College",35,"High","Yes","Yes","Positive"
2299,9,"Medium",2,"No","Female",72,92,2,"Medium","Public","Near",76,"Medium","High","High School",24,"High","No","Yes","Positive"
5971,7,"Medium",2,"Yes","Male",72,98,2,"Medium","Public","Moderate",97,"Medium","Low","Postgraduate",26,"Low","Yes","Yes","Neutral"
5671,10,"Low",5,"No","Male",72,91,1,"Medium","Public","Near",63,"Low","Medium","High School",35,"Medium","Yes","Yes","Neutral"
3189,8,"Medium",4,"No","Male",72,87,0,"High","Private","Moderate",83,"High","Medium","College",25,"Medium","Yes","Yes","Positive"
6385,6,"Medium",2,"No","Female",72,93,1,"Medium","Public","Near",57,"High","High","Postgraduate",23,"Medium","No","Yes","Positive"
2307,4,"Low",3,"No","Male",72,99,2,"Medium","Private","Far",92,"High","High","High School",24,"Medium","No","Yes","Neutral"
150,6,"Medium",3,"No","Female",72,95,1,"Medium","Public","Near",69,"Medium","Low","College",22,"High","Yes","Yes","Positive"
2312,6,"Low",3,"No","Male",72,78,0,"High","Public","Near",97,"High","Medium","High School",31,"High","Yes","Yes","Neutral"
5809,8,"Low",3,"No","Male",72,89,2,"High","Private","Moderate",62,"High","Low","College",36,"Low","Yes","Yes","Negative"
3180,10,"Low",5,"No","Male",72,90,3,"Medium","Public","Near",90,"Medium","Low","High School",23,"Medium","Yes","Yes","Positive"
1137,9,"Low",2,"No","Male",72,96,0,"High","Public","Moderate",87,"Medium","Medium","College",27,"High","Yes","No","Positive"
896,8,"Medium",3,"No","Female",72,89,1,"High","Public","Near",61,"Medium","Low","Postgraduate",24,"High","Yes","Yes","Positive"
4585,6,"Medium",1,"No","Male",72,99,1,"Medium","Private","Moderate",100,"High","Low","High School",19,"Medium","Yes","Yes","Positive"
2364,8,"Medium",4,"No","Male",72,86,2,"High","Private","Near",79,"Medium","Low","College",27,"Medium","Yes","Yes","Positive"
2875,9,"Medium",3,"No","Female",72,89,2,"High","Public","Near",82,"High","High","College",20,"Medium","Yes","Yes","Neutral"
22,6,"Medium",3,"No","Male",72,99,1,"High","Public","Near",84,"Medium","Medium","High School",19,"High","No","Yes","Neutral"
